Country	MinLat	MaxLat	MinLong	MaxLong
Mexico	17.34019461	28.56526502	-106.5957527	-98.15825275
America	30.1451274	47.04018231	-120.9375004	-79.01367225
England	50.95155147	54.02717575	-2.866214231	52.20765081
Australia	-31.9054424	-14.89159199	115.1423235	151.353261
Ireland	51.79853224	54.99347306	-9.078850937	-6.222405625
United Kingdom	50.76307988	57.34923144	-4.4906605	0.782777
Scotland	55.89160641	58.2901176	-5.806649706	-2.26905205
Canada	48.87569647	66.34420481	-139.393646	-59.940521
Sweden	55.87260444	68.30012091	12.57904788	17.32514163
Norway	58.33003444	64.22339485	5.284126	12.05170413
Germany	47.70989503	53.91739785	6.628283813	13.48375256
New Zealand	-46.45632492	-41.23188189	168.4699554	172.073471
France	42.6524449	50.43152999	-1.609493187	6.036991188
Argentina	-51.7858086	-22.7624391	-70.73581263	-62.29831262
Japan	34.70141889	37.1388526	136.1874943	140.4941349
Poland	49.62733013	19.43078053	14.99230397	23.14415944
Russia	52.59137632	70.67179396	33.600006	135.553131
Georgia	41.36795165	42.38229117	41.77277646	45.90363584
Mauritania	15.67094317	25.72596457	-16.08243656	-6.062905312
Iceland	63.48236776	65.71477777	-21.19612797	-14.47249516