WorkID	Title	Rating	BoxOffice (in million)	Budget (in million)	Year
M1	Birdman or (The Unexpected Virtue of Ignorance)	R	86.3	16.5	2014
M2	American Sniper	R	471.6	58.8	2014
M3	Boyhood	R	44.5	4	2014
M4	The Grand Budapest Hotel	R	174.6	30	2014
M5	The Imitation Game	PG-13	200.6	14	2014
M6	Selma	PG-13	57.1	20	2014
M7	The Theory of Everything	PG-13	110.2	15	2014
M8	Whiplash	R	13.2	3.3	2014
M9	Foxcatcher	R	15.2	24	2014
M10	Still Alice	PG-13	14.7	5	2014
M11	Two Days, One Night	PG-13	6.7	7.7	2014
M12	Gone Girl	R	368.1	61	2014
M13	Wild	R	45.7	0	2014
M14	The Judge	R	83.7	50	2014
M15	Into the Woods	PG	172.9	50	2014
M16	Nightcrawler	R	38.7	8.5	2014
M17	Inherent Vice	R	11.1	20	2014
M18	Big Hero 6	PG	572.2	165	2014
M19	The Boxtrolls	PG	108.3	60	2014
M20	How to Train Your Dragon 2	PG	618.9	145	2014
M21	Song of the Sea	PG	0.4	8	2014
M22	The Tale of Princess Kaguya	PG	24	49.3	2014
M23	Ida	PG-13	10.7	3	2014
M24	Leviathan	R	0.704	3.6	2014
M25	Tanagerines	NR	0	0.99	2014
M26	Timbuktu	PG-13	0.5	0	2014
M27	Wild Tales	R	24	3.3	2014
M28	Citizenfour	R	2.7	0	2014
M29	Finding Vivian Maier	NR	2.2	0	2014
M30	Last Days in Vietnam	NR	0.16	0	2014
M31	The Salt of the Earth	PG-13	0	0	2014
M32	Virunga	NR	0	0	2014
M33	Crisis Hotline: Veterans Press 1	NR	0	0	2014
M34	Joanna	NR	0	0	2013
M35	Our Curse	NR	0	0	2013
M36	The Reaper	NR	0	0	2013
M37	White Earth	NR	0	0	2014
M38	The Phone Call	TV-14	0	0	2013
M39	Aya	NR	0	0	2012
M40	Boogaloo and Graham	NR	0	0	2014
M41	Butter Lamp	NR	0	0	2013
M42	Parvaneh	NR	0	0	2012
M43	Feast	G	0	0	2014
M44	The Bigger Picture	NR	0	0	2014
M45	12 Years a Slave	R	187.7	22	2013
M46	American Hustle	R	251.1	40	2013
M47	Captain Phillips	PG-13	218.8	55	2013
M48	Dallas Buyers Club	R	55.2	5	2013
M49	Gravity	PG-13	716.4	100	2013
M50	Her	R	47.4	23	2013
M51	Nebraska	R	24.2	12	2013
M52	Philomena	PG-13	100.1	12	2013
M53	The Wolf of Wall Street	R	392	100	2013
M54	Blue Jasmine	PG-13	97.5	18	2013
M55	August: Osage County	R	74	25	2013
M56	Before Midnight	R	20	3	2013
M57	Frozen	PG	1274	150	2013
M58	The Croods	PG	587.2	135	2013
M59	Despicable Me 2	PG	970.8	76	2013
M60	Ernest & Celestine	PG	6.2	10.4	2012
M61	The Wind Rises	PG-13	134	30	2013
M62	Saving Mr. Banks	PG-13	112.5	35	2013
M63	Mandela: Long Walk to Freedom	PG-13	27	35	2013
M64	All is Lost	PG-13	13.6	8.5	2013
M65	The Hobbit: The Desolation of Smaug	PG-13	960.4	225	2013
M66	Lone Survivor	R	149.3	40	2013
M67	Inside Llewyn Davis	R	32.9	11	2013
M68	The Great Gatsby	PG-13	351	105	2013
M69	The Dam Keeper	PG	0	0	2014
M70	Me and My Moulton	PG	0	0	2014
M71	A Single Life	PG	0	0	2014
M72	Interstellar	PG-13	672.6	165	2014
M73	Mr. Turner	R	17.2	8.9	2014
M74	The Lego Movie	PG	468.8	60	2014
M75	Beyond the Lights	PG-13	14.6	7	2014
M76	Glen Campbell: I'll Be Me	PG	0.3	0	2014
M77	Begin Again	R	63.5	8	2014
M78	The Hobbit: The Battle of the Five Armies	PG-13	954.7	250	2014
M79	Unbroken	PG-13	161.4	65	2014
M80	Guardians of the Galaxy	PG-13	774.2	195.9	2014
M81	Maleficent	PG	758.4	180	2014
M82	Captain America: The Winter Soldier	PG-13	714.8	170	2014
M83	Dawn of the Planet of the Apes	PG-13	708.7	170	2014
M84	X-Men: Days of Future Past	PG-13	748.1	200	2014